MenuId,QuickComms,Key,Filename,OpenMenuId
0,Affirmative,1,vo_player_affirmative,
0,Negative,2,vo_player_negative,
0,Shhhooot!,3,vo_player_shoot,
0,Yee-haaaaaw!,4,vo_player_yeeehaa,
0,Attack my target,5,vo_player_attacktarget,
0,I need help!,6,vo_player_needhelp,
0,Donate your money to the investor!,7,vo_player_donateinvestor,
0,I need turrent gunners NOW!,8,vo_player_needturret,
0,I'll be on your turret in a few seconds.,9,vo_player_joiningturret,
0,"Oops, wrong voice chat...",0,vo_player_oops,
0,Attack...,A,,1
0,Commands...,C,,2
0,Defend...,D,,3
0,Find...,F,,4
0,General...,G,,5
0,Need...,N,,6
0,Respond...,R,,7
0,Taunts...,T,,8
0,Yell...,Y,,9
0,Info...,I,,10
0,Tactical...,L,,11
0,Other...,Q,,12
1,Need more pilots on offense!,A,vo_ma_needoffense,
1,Attack base.,B,vo_player_attackbase,
1,Attack constructor.,C,vo_player_attackconstuctor,
1,Attack fighters.,F,vo_player_attackfighter,
1,Attack interceptors.,I,vo_player_attackinterceptor,
1,Attack capital ship.,L,vo_player_attackcapital,
1,Attack miners.,M,vo_player_attackminer,
1,Attack bombers.,O,vo_player_attackbomber,
1,Attack teleport (ripcord).,R,vo_player_attackripcord,
1,Attack stealths.,S,vo_player_attackstealth,
1,Attack transports.,T,vo_player_attacktransport,
1,Attack scouts.,U,vo_player_attackscout,
1,Attack towers.,V,vo_player_attacktower,
1,Attack minefield!,N,vo_ma_attackminefield,
1,Attack nanites!,E,vo_ma_attacknanite,
1,Attack rescue probe!,G,vo_ma_attackrescue,
1,Attack special mines!,H,vo_ma_attackspecial,
1,Attack their probes!,P,vo_ma_attackprobe,
2,We need a scout to find the alephs.,A,vo_player_scoutaleph,
2,Found enemy constructor. Request assistance.,B,vo_player_foundenemyconstruct,
2,Constructor launching now.,C,vo_player_constructorlaunching,
2,"Yo, go find their crib.",F,vo_player_findfreakinbase,
2,Go Go Go!,G,vo_player_gogogo,
2,Go miner hunting.,H,vo_player_minerhunt,
2,Stay together.,I,vo_player_staytogether,
2,Ripcord home.,J,vo_player_ripcordhome,
2,Lay low and go for the contructors.,L,vo_player_laylow,
2,Found enemy miners. Request assistance.,M,vo_player_foundenemyminer,
2,Our base is under attack. Request assistance.,O,vo_player_baseunderattack,
2,Deploy probes.,P,vo_player_deployprobes,
2,Wait for signal.,Q,vo_player_wait4signal,
2,Retreat!,R,vo_player_retreat,
2,Deploy mines.,T,vo_player_deploymines,
2,Repair the station.,U,vo_player_repairstation,
2,Follow me.,X,vo_player_follow,
2,Stay on target.,Y,vo_player_stayontarget,
2,"I gotcha, hold still.",S,vo_player_gotcha,
2,"Capturing base, get ready to launch!",E,vo_ma_capturingbase,
2,Don't forget to take along your rescue probes!,K,vo_ma_deployrescue,
2,Don't kill pods!,N,vo_ma_dontkillpods,
2,Get off my turrets man!,V,vo_ma_offturret,
2,Stay out of the middle aleph!,W,vo_ma_stayoutofmiddle,
2,Pickup tech!,Z,vo_ma_pickuptech,
3,Need more help on defense!,D,vo_ma_needdefense,
3,Defend base.,B,vo_player_defendbase,
3,Defend constructor.,C,vo_player_defendconstuctor,
3,Defend fighters.,F,vo_player_defendfighter,
3,Defend interceptors.,I,vo_player_defendinterceptor,
3,Defend capital ship.,L,vo_player_defendcapital,
3,Defend miners.,M,vo_player_defendminer,
3,Defend bombers,O,vo_player_defendbomber,
3,Defend teleport (ripcord).,R,vo_player_defendripcord,
3,Defend stealths.,S,vo_player_defendstealth,
3,Defend transports.,T,vo_player_defendtransport,
3,Defend scouts.,U,vo_player_defendscout,
3,Defend towers.,V,vo_player_defendtower,
3,Need nanites on the constructor!,W,vo_ma_neednanonconst,
3,Defend special mines!,A,vo_ma_defendspecial,
3,"Defenders, stay close to base!",E,vo_player_defend,
3,"Don't defend, it's dead.",J,vo_ma_dontdefend,
3,Inbound enemy bomber!,1,vo_player_inboundenemybomb,
3,Inbound enemy cap ship!,2,vo_player_inboundenemycap,
3,Inbound enemy fighters!,3,vo_player_inboundenemyfight,
3,Inbound enemy transport!,4,vo_player_inboundenemytrans,
4,Find alephs.,A,vo_player_findalephs,
4,Find carbonaceous asteroid.,C,vo_player_findcarbonacous,
